,stopword
0,아
1,휴
2,아이구
3,아이쿠
4,아이고
5,어
6,나
7,우리
8,저희
9,따라
10,의해
11,을
12,를
13,에
14,의
15,가
16,으로
17,로
18,에게
19,뿐이다
20,의거하여
21,근거하여
22,입각하여
23,기준으로
24,예하면
25,예를
26,들면
27,예를
28,들자면
29,저
30,소인
31,소생
32,저희
33,지말고
34,하지마
35,하지마라
36,다른
37,물론
38,또한
39,그리고
40,비길수
41,없다
42,해서는
43,안된다
44,뿐만
45,아니라
46,만이
47,아니다
48,만은
49,아니다
50,막론하고
51,관계없이
52,그치지
53,않다
54,그러나
55,그런데
56,하지만
57,든간에
58,논하지
59,않다
60,따지지
61,않다
62,설사
63,비록
64,더라도
65,아니면
66,만
67,못하다
68,하는
69,편이
70,낫다
71,불문하고
72,향하여
73,향해서
74,향하다
75,쪽으로
76,틈타
77,이용하여
78,타다
79,오르다
80,제외하고
81,이
82,외에
83,이
84,밖에
85,하여야
86,비로소
87,한다면
88,몰라도
89,외에도
90,이곳
91,여기
92,부터
93,기점으로
94,따라서
95,할
96,생각이다
97,하려고하다
98,이리하여
99,그리하여
100,그렇게
101,함으로써
102,하지만
103,일때
104,할때
105,앞에서
106,중에서
107,보는데서
108,으로써
109,로써
110,까지
111,해야한다
112,일것이다
113,반드시
114,할줄알다
115,할수있다
116,할수있어
117,임에
118,틀림없다
119,한다면
120,등
121,등등
122,제
123,겨우
124,단지
125,다만
126,할뿐
127,딩동
128,댕그
129,대해서
130,대하여
131,대하면
132,훨씬
133,얼마나
134,얼마만큼
135,얼마큼
136,남짓
137,여
138,얼마간
139,약간
140,다소
141,좀
142,조금
143,다수
144,몇
145,얼마
146,지만
147,하물며
148,또한
149,그러나
150,그렇지만
151,하지만
152,이외에도
153,대해
154,말하자면
155,뿐이다
156,다음에
157,반대로
158,반대로
159,말하자면
160,이와
161,반대로
162,바꾸어서
163,말하면
164,바꾸어서
165,한다면
166,만약
167,그렇지않으면
168,까악
169,툭
170,딱
171,삐걱거리다
172,보드득
173,비걱거리다
174,꽈당
175,응당
176,해야한다
177,에
178,가서
179,각
180,각각
181,여러분
182,각종
183,각자
184,제각기
185,하도록하다
186,와
187,과
188,그러므로
189,그래서
190,고로
191,한
192,까닭에
193,하기
194,때문에
195,거니와
196,이지만
197,대하여
198,관하여
199,관한
200,과연
201,실로
202,아니나다를가
203,생각한대로
204,진짜로
205,한적이있다
206,하곤하였다
207,하
208,하하
209,허허
210,아하
211,거바
212,와
213,오
214,왜
215,어째서
216,무엇때문에
217,어찌
218,하겠는가
219,무슨
220,어디
221,어느곳
222,더군다나
223,하물며
224,더욱이는
225,어느때
226,언제
227,야
228,이봐
229,어이
230,여보시오
231,흐흐
232,흥
233,휴
234,헉헉
235,헐떡헐떡
236,영차
237,여차
238,어기여차
239,끙끙
240,아야
241,앗
242,아야
243,콸콸
244,졸졸
245,좍좍
246,뚝뚝
247,주룩주룩
248,솨
249,우르르
250,그래도
251,또
252,그리고
253,바꾸어말하면
254,바꾸어말하자면
255,혹은
256,혹시
257,답다
258,및
259,그에
260,따르는
261,때가
262,되어
263,즉
264,지든지
265,설령
266,가령
267,하더라도
268,할지라도
269,일지라도
270,지든지
271,몇
272,거의
273,하마터면
274,인젠
275,이젠
276,된바에야
277,된이상
278,만큼
279,어찌됏든
280,그위에
281,게다가
282,점에서
283,보아
284,비추어
285,보아
286,고려하면
287,하게될것이다
288,일것이다
289,비교적
290,좀
291,보다더
292,비하면
293,시키다
294,하게하다
295,할만하다
296,의해서
297,연이서
298,이어서
299,잇따라
300,뒤따라
301,뒤이어
302,결국
303,의지하여
304,기대여
305,통하여
306,자마자
307,더욱더
308,불구하고
309,얼마든지
310,마음대로
311,주저하지
312,않고
313,곧
314,즉시
315,바로
316,당장
317,하자마자
318,밖에
319,안된다
320,하면된다
321,그래
322,그렇지
323,요컨대
324,다시
325,말하자면
326,바꿔
327,말하면
328,즉
329,구체적으로
330,말하자면
331,시작하여
332,시초에
333,이상
334,허
335,헉
336,허걱
337,바와같이
338,해도좋다
339,해도된다
340,게다가
341,더구나
342,하물며
343,와르르
344,팍
345,퍽
346,펄렁
347,동안
348,이래
349,하고있었다
350,이었다
351,에서
352,로부터
353,까지
354,예하면
355,했어요
356,해요
357,함께
358,같이
359,더불어
360,마저
361,마저도
362,양자
363,모두
364,습니다
365,가까스로
366,하려고하다
367,즈음하여
368,다른
369,다른
370,방면으로
371,해봐요
372,습니까
373,했어요
374,말할것도
375,없고
376,무릎쓰고
377,개의치않고
378,하는것만
379,못하다
380,하는것이
381,낫다
382,매
383,매번
384,들
385,모
386,어느것
387,어느
388,로써
389,갖고말하자면
390,어디
391,어느쪽
392,어느것
393,어느해
394,어느
395,년도
396,라
397,해도
398,언젠가
399,어떤것
400,어느것
401,저기
402,저쪽
403,저것
404,그때
405,그럼
406,그러면
407,요만한걸
408,그래
409,그때
410,저것만큼
411,그저
412,이르기까지
413,할
414,줄
415,안다
416,할
417,힘이
418,있다
419,너
420,너희
421,당신
422,어찌
423,설마
424,차라리
425,할지언정
426,할지라도
427,할망정
428,할지언정
429,구토하다
430,게우다
431,토하다
432,메쓰겁다
433,옆사람
434,퉤
435,쳇
436,의거하여
437,근거하여
438,의해
439,따라
440,힘입어
441,그
442,다음
443,버금
444,두번째로
445,기타
446,첫번째로
447,나머지는
448,그중에서
449,견지에서
450,형식으로
451,쓰여
452,입장에서
453,위해서
454,단지
455,의해되다
456,하도록시키다
457,뿐만아니라
458,반대로
459,전후
460,전자
461,앞의것
462,잠시
463,잠깐
464,하면서
465,그렇지만
466,다음에
467,그러한즉
468,그런즉
469,남들
470,아무거나
471,어찌하든지
472,같다
473,비슷하다
474,예컨대
475,이럴정도로
476,어떻게
477,만약
478,만일
479,위에서
480,서술한바와같이
481,인
482,듯하다
483,하지
484,않는다면
485,만약에
486,무엇
487,무슨
488,어느
489,어떤
490,아래윗
491,조차
492,한데
493,그럼에도
494,불구하고
495,여전히
496,심지어
497,까지도
498,조차도
499,하지
500,않도록
501,않기
502,위하여
503,때
504,시각
505,무렵
506,시간
507,동안
508,어때
509,어떠한
510,하여금
511,네
512,예
513,우선
514,누구
515,누가
516,알겠는가
517,아무도
518,줄은모른다
519,줄은
520,몰랏다
521,하는
522,김에
523,겸사겸사
524,하는바
525,그런
526,까닭에
527,한
528,이유는
529,그러니
530,그러니까
531,때문에
532,그
533,너희
534,그들
535,너희들
536,타인
537,것
538,것들
539,너
540,위하여
541,공동으로
542,동시에
543,하기
544,위하여
545,어찌하여
546,무엇때문에
547,붕붕
548,윙윙
549,나
550,우리
551,엉엉
552,휘익
553,윙윙
554,오호
555,아하
556,어쨋든
557,만
558,못하다
559,하기보다는
560,차라리
561,하는
562,편이
563,낫다
564,흐흐
565,놀라다
566,상대적으로
567,말하자면
568,마치
569,아니라면
570,쉿
571,그렇지
572,않으면
573,그렇지
574,않다면
575,안
576,그러면
577,아니었다면
578,하든지
579,아니면
580,이라면
581,좋아
582,알았어
583,하는것도
584,그만이다
585,어쩔수
586,없다
587,하나
588,일
589,일반적으로
590,일단
591,한켠으로는
592,오자마자
593,이렇게되면
594,이와같다면
595,전부
596,한마디
597,한항목
598,근거로
599,하기에
600,아울러
601,하지
602,않도록
603,않기
604,위해서
605,이르기까지
606,이
607,되다
608,로
609,인하여
610,까닭으로
611,이유만으로
612,이로
613,인하여
614,그래서
615,이
616,때문에
617,그러므로
618,그런
619,까닭에
620,알
621,수
622,있다
623,결론을
624,낼
625,수
626,있다
627,으로
628,인하여
629,있다
630,어떤것
631,관계가
632,있다
633,관련이
634,있다
635,연관되다
636,어떤것들
637,에
638,대해
639,이리하여
640,그리하여
641,여부
642,하기보다는
643,하느니
644,하면
645,할수록
646,운운
647,이러이러하다
648,하구나
649,하도다
650,다시말하면
651,다음으로
652,에
653,있다
654,에
655,달려
656,있다
657,우리
658,우리들
659,오히려
660,하기는한데
661,어떻게
662,어떻해
663,어찌됏어
664,어때
665,어째서
666,본대로
667,자
668,이
669,이쪽
670,여기
671,이것
672,이번
673,이렇게말하자면
674,이런
675,이러한
676,이와
677,같은
678,요만큼
679,요만한
680,것
681,얼마
682,안
683,되는
684,것
685,이만큼
686,이
687,정도의
688,이렇게
689,많은
690,것
691,이와
692,같다
693,이때
694,이렇구나
695,것과
696,같이
697,끼익
698,삐걱
699,따위
700,와
701,같은
702,사람들
703,부류의
