,title,category
0,통합36.5% 민주 33.4%…부동산이 불러온 4년만의 역전,politics
1,"36.5% vs 33.4%...통합당, 朴탄핵 후 처음 민주당 지지도 제쳤다",politics
2,통합 지지율 36.5% vs 민주 33.4%…朴 탄핵 이후 첫 역전,politics
3,"통합당, 민주당 지지도 앞질렀다···2016년 탄핵 이후 처음 [리얼미터]",politics
4,김종인 “선거 앞두고는 추경하더니..수해복구 추경 해야”,politics
5,"김종인 ""선거 땐 추경하자더니…수해복구 추경은 왜 거부하나""",politics
6,"김종인 ""정부·여당, 선거땐 추경하더니 수해엔 거부하나""",politics
7,김종인 “정부·여당 수해복구 추경 거부 납득 못해…추경 요구”,politics
8,美매체 “北영변 인근 구룡강 범람…핵시설 손상 가능성”,politics
9,"[속보] 美 매체 ""北영변 구룡강 범람…핵시설 손상 가능성""",politics
10,"38노스 ""북한 구룡강 범람으로 영변 핵시설 일부 침수돼""",politics
11,"""北홍수로 구룡강 범람, 영변 핵단지 손상된듯"" 위성사진 공개",politics
12,"분홍색 고무장갑, 목엔 수건…김정숙 여사 '몰래 봉사' B컷들",politics
13,영부인이 왜 거기서 나와…수해현장 깜짝 방문한 김정숙 여사 봉사 현장 B컷 공개,politics
14,땀범벅 된 머리에 고무장갑…주민도 몰라본 김정숙 여사,politics
15,고무장갑·몸빼 입고…주민 포착한 김정숙 여사 ‘몰래봉사’ 현장,politics
16,"조국 “김웅, 초선이 벌써부터…내 아파트 재건축은 왜”",politics
17,"조국 ""김웅, 초선이 벌써 구태의연… '기승전 조국' 멈춰라""",politics
18,"조국 “김웅, ‘기승전 조국’ 그만해…내 아파트 재건축에 관여 안했다”",politics
19,"[종합] 김웅 ""재건축이 적폐면 조국은 뭐냐"" 조국 ""초선이 벌써 노이즈 마케팅""",politics
20,'다주택자 종부세 강화' 두고 찬반 여론 '47.5%' 로 팽팽,politics
21,"""다주택자 종부세 강화 찬성 47.5% vs 반대 47.5%""[리얼미터]",politics
22,47.5% vs 47.5%… 다주택자 종부세 강화 찬반 '팽팽',politics
23,"찬성 많았던 `다주택자 종부세 강화` 여론, 지금은…",politics
24,"與, 지지율 역전에 당혹..""수해복구 우선""",politics
25,"김태년 ""정기국회 우선순위는 수해복구 예산 편성""",politics
26,"與 ""예비비 총동원·재난 대응 매뉴얼 재작성""…수해 복구 총력전(종합)",politics
27,김태년 “기후 위기 대응 위한 재난 대응 매뉴얼 재작성”,politics
28,"안철수, 정부·여당에 ""벼락부자된 졸부의 교만"" 일침",politics
29,"안철수 ""文 왜곡된 현실인식, 집권세력 집단최면으로 이어져""",politics
30,[박성진의 한국군 코멘터리]육해공군 사관학교를 통합한 ‘국군사관학교’,politics
31,[박성진의 한국군 코멘터리] '전문 경영인' 국방장관이 필요하다,politics
